;;3notes;;;4notes;5notes;6notes;7notes
;Tonalité;Fondamental;Tierce2T;5J3,5T;7M5,5T;9Maj7T;#119T;13Maj10,5T
;C;C;E//F?;G;B//C?;D;F#//G?;A
;D;D;F#//G?;A;C#//D?;E//F?;G#//A?;B//C?
;E;E//F?;G#//A?;B//C?;D#;F#;A#//B?;C#//D?
;F;F;A;C;E//F?;G;B//C?;D
;G;G;B;D;F#//G?;A;C#//D?;E
;A;A;C#;E//F?;G#//A?;B//C?;D#//E?;F#//G?
;B;B//C?;D#//E?;F#//G?;A#//B?;C#//D?;E#/F;G#//A?
;F#;F#//G?;A#//B?;C#//D?;E#/F;G#//A?;?#/C;D#
;C#;C#//D?;E#/F;G#//A?;B#/C;D#//E?;G;A#//B?
;G#//A?;G#//A?;B#/C;D#//E?;F##/G;A#//B?;D;E#/F
;D#//E?;D#;F##/G;A#//B?;C##/D;E#/F;A;C
;A#//B?;A#//B?;D;E#/F;A;B#/C;E;G
;E#;E#/F;A;B#/C;E;G//F##;B//C?;D
;B#;B#/C;E//F?;G;B//C?;D;F#//G?;A
;B?/A#;B?//A#;D;F;A;C;F?//E;G
;E?/D#;E?//D#;G//F##;A#//B?;D;E#/F;A;C
;A?/G#;A?/G#;C;E?//D#;G;A#//B?;D;F
;D?C#;D?//C#;F;A?/G#;C;E?//D#;G;B?//A#
;G?/F#;G?/F#;B?//A#;D?//C#;F;G#//A?;B#/C;D#
;C?/B;C?//B;E?//D#;G?//F#;B?//A#;C#//D?;E#/F;G#//A?
;F?/E;F?//E;A?/G#;C?//B;D#//E?;F#//G?;A#//B?;C#//D?
;;I;ii;iii;IV;V;vi;vii°
